timestamp,x,y,z,magnitude,distance_cm,temperature
0.0064,-0.0163,0.0176,0.25,-1.0,31.4,2025-02-10 15:58:40
0.0057,-0.0164,0.0203,0.27,-1.0,31.26,2025-02-10 15:58:42
0.0039,-0.016,0.0199,0.26,-1.0,31.26,2025-02-10 15:58:44
0.0063,-0.012,0.0168,0.22,-1.0,31.31,2025-02-10 15:58:46
0.0037,-0.0125,0.0173,0.22,-1.0,31.26,2025-02-10 15:58:49
0.0048,-0.0165,0.0176,0.25,-1.0,31.21,2025-02-10 15:58:51
0.0033,-0.0116,0.0221,0.25,-1.0,31.17,2025-02-10 15:58:53
0.0023,-0.0155,0.0157,0.22,-1.0,31.17,2025-02-10 15:58:56
0.0073,-0.0392,0.0232,0.46,-1.0,31.21,2025-02-10 15:58:58
0.0043,-0.018,0.0171,0.25,-1.0,31.21,2025-02-10 15:59:00
0.0028,-0.01,0.0181,0.21,-1.0,31.17,2025-02-10 15:59:03
0.0047,-0.0152,0.0175,0.24,-1.0,31.21,2025-02-10 15:59:05
0.0064,-0.012,0.0175,0.22,-1.0,31.17,2025-02-10 15:59:07
0.0056,-0.0179,0.0181,0.26,-1.0,31.17,2025-02-10 15:59:09
0.0047,-0.0152,0.0192,0.25,-1.0,31.21,2025-02-10 15:59:12
0.0035,-0.0124,0.0165,0.21,-1.0,31.21,2025-02-10 15:59:14
0.0029,-0.0155,0.0177,0.24,-1.0,31.26,2025-02-10 15:59:16
0.0053,-0.0175,0.0221,0.29,-1.0,31.21,2025-02-10 15:59:19
0.0071,-0.0139,0.0161,0.22,-1.0,31.12,2025-02-10 15:59:21
0.002,-0.0167,0.0149,0.22,-1.0,31.21,2025-02-10 15:59:24
0.0029,-0.0104,0.0155,0.19,-1.0,31.12,2025-02-10 15:59:26
0.0043,-0.0083,0.0165,0.19,-1.0,31.12,2025-02-10 15:59:28
0.0044,-0.0183,0.0184,0.26,-1.0,31.12,2025-02-10 15:59:31
0.0041,-0.0177,0.0187,0.26,-1.0,31.17,2025-02-10 15:59:33
0.0039,-0.0099,0.0139,0.17,-1.0,31.12,2025-02-10 15:59:35
0.0007,-0.0149,0.016,0.22,-1.0,31.17,2025-02-10 15:59:38
0.0033,-0.0204,0.0172,0.27,-1.0,31.17,2025-02-10 15:59:40
0.0031,-0.0095,0.0137,0.17,-1.0,31.17,2025-02-10 15:59:42
0.0035,-0.0197,0.0172,0.26,-1.0,31.17,2025-02-10 15:59:44
0.0071,-0.0173,0.0184,0.26,-1.0,31.07,2025-02-10 15:59:47
0.0032,-0.0157,0.0192,0.25,-1.0,31.17,2025-02-10 15:59:49
0.0048,-0.0137,0.0173,0.23,-1.0,31.12,2025-02-10 15:59:51
0.0049,-0.0155,0.0175,0.24,-1.0,31.12,2025-02-10 15:59:54
0.0045,-0.0197,0.0201,0.29,-1.0,31.07,2025-02-10 15:59:56
0.0045,-0.0119,0.0167,0.21,-1.0,31.17,2025-02-10 15:59:58
0.0084,-0.0139,0.0172,0.24,-1.0,31.02,2025-02-10 16:00:00
0.0073,-0.0148,0.0164,0.23,-1.0,31.12,2025-02-10 16:00:03
0.0028,-0.0171,0.0216,0.28,-1.0,31.12,2025-02-10 16:00:05
0.0036,-0.0167,0.0208,0.27,-1.0,31.07,2025-02-10 16:00:07
0.0037,-0.0147,0.0161,0.22,-1.0,31.17,2025-02-10 16:00:10
